"","bloom_period","fall_conspicuous","flower_conspicuous","fruit_period","id","link_st","name","native_status","palatable_human","sc_name_corr","scientific_name","th_height","th_src","th_width","title_st","wildlife_value","corrected","link_eol","title_eol"
10,"spring",0.0,1.0,"",15.0,"https://selectree.calpoly.edu/tree-detail/aesculus-%C3%97-carnea","Aesculus carnea","False",0.0,"Aesculus carnea","Aesculus xcarnea","","","","Aesculus × carnea",1.0,"Aesculus carnea","http://eol.org/pages/482034/overview","Red Horse-chestnut - Aesculus carnea - Overview - Encyclopedia of ..."
11,"spring",0.0,1.0,"",17.0,"https://selectree.calpoly.edu/tree-detail/aesculus-pavia","Aesculus","True",0.0,"Aesculus","Aesculus","","","","Aesculus pavia",1.0,"Aesculus pavia","http://eol.org/pages/582244/overview","Red Buckeye - Aesculus pavia - Overview - Encyclopedia of Life"
12,"",0.0,0.0,"",18.0,"https://selectree.calpoly.edu/tree-detail/araucaria-araucana","","False",0.0,"Araucaria araucana","Araucaria araucana","","","","Araucaria araucana",0.0,"Araucaria araucana","http://eol.org/pages/1034857/overview","Monkey-puzzle - Araucaria araucana - Overview - Encyclopedia of Life"
13,"",0.0,0.0,"winter",19.0,"https://selectree.calpoly.edu/tree-detail/araucaria-bidwillii","","False",1.0,"Araucaria bidwillii","Araucaria bidwillii","","","","Araucaria bidwillii",0.0,"Araucaria bidwillii","http://eol.org/pages/323342/overview","Bunya - Araucaria bidwillii - Overview - Encyclopedia of Life"
14,"fall, winter",0.0,1.0,"fall, winter",20.0,"https://selectree.calpoly.edu/tree-detail/arbutus-marina","","False",1.0,"Arbutus Marina","Arbutus Marina","","","","Arbutus 'Marina'",1.0,"","",""
15,"spring, winter",0.0,1.0,"",21.0,"https://selectree.calpoly.edu/tree-detail/arctostaphylos-manzanita","","True",0.0,"Arctostaphylos manzanita","Arctostaphylos manzanita","","","","Arctostaphylos manzanita",1.0,"Arctostaphylos glauca","http://eol.org/pages/585538/overview","Bigberry Manzanita - Arctostaphylos glauca - Overview ..."
16,"",1.0,0.0,"",23.0,"https://selectree.calpoly.edu/tree-detail/betula-nigra","Betula nigra","False",0.0,"Betula nigra","Betula nigra","","","","Betula nigra",0.0,"Betula nigra","http://eol.org/pages/1149380/overview","River Birch - Betula nigra - Overview - Encyclopedia of Life"
17,"",1.0,0.0,"",24.0,"https://selectree.calpoly.edu/tree-detail/betula-pendula","Betula pendula","False",0.0,"Betula pendula","Betula pendula","","","","Betula pendula",1.0,"Betula pendula","http://eol.org/pages/1149364/overview","Silver Birch - Betula pendula - Overview - Encyclopedia of Life"
18,"spring, summer",0.0,1.0,"",25.0,"","","False",0.0,"Callistemon rugulosus","Callistemon rugulosus","","","","",1.0,"Callistemon rigidus","http://eol.org/pages/2508465/overview","Stiff Bottlebrush - Callistemon rigidus - Overview - Encyclopedia of Life"
19,"",0.0,0.0,"",27.0,"https://selectree.calpoly.edu/tree-detail/caryota-maxima","Caryota maxima","False",0.0,"Caryota maxima","Caryota maxima","","","","MOUNTAIN FISHTAIL PALM Caryota maxima",0.0,"Caryota mitis","http://eol.org/pages/1090464/overview","Burmese Fishtail Palm - Caryota mitis - Overview - Encyclopedia of ..."
20,"summer",1.0,1.0,"fall",28.0,"https://selectree.calpoly.edu/tree-detail/castanea-sativa","","False",1.0,"Castanea sativa","Castanea sativa","","","","SPANISH CHESTNUT Castanea sativa",1.0,"Castanea sativa","http://eol.org/pages/1148508/overview","Spanish Chestnut - Castanea sativa - Overview - Encyclopedia of Life"
21,"spring",0.0,1.0,"",30.0,"https://selectree.calpoly.edu/tree-detail/ceanothus-ray-hartman","","True",0.0,"Ceanothus Ray","Ceanothus Ray",199.0,"https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSdoQdYnh8E6LKE_BaYqVd2iQt4QiW9UBnR3QxUP9LAIxLjD4NzquXc0WnA",253.0,"RAY HARTMAN CEANOTHUS Ceanothus",1.0,"","",""
22,"spring",0.0,1.0,"",31.0,"https://selectree.calpoly.edu/tree-detail/ceanothus-ray-hartman","Ceanothus","True",0.0,"Ceanothus","Ceanothus",199.0,"https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSdoQdYnh8E6LKE_BaYqVd2iQt4QiW9UBnR3QxUP9LAIxLjD4NzquXc0WnA",253.0,"RAY HARTMAN CEANOTHUS Ceanothus",1.0,"Ceanothus","http://eol.org/pages/582475/overview","Feltleaf Ceanothus - Ceanothus arboreus - Overview - Encyclopedia ..."
23,"spring",1.0,1.0,"",32.0,"https://selectree.calpoly.edu/tree-detail/cercis-canadensis","Cercis canadensis","False",0.0,"Cercis canadensis","Cercis canadensis","","","","Cercis canadensis",1.0,"Cercis canadensis","http://eol.org/pages/640323/overview","Eastern Redbud - Cercis canadensis - Overview - Encyclopedia of Life"
24,"fall, winter",0.0,1.0,"",35.0,"https://selectree.calpoly.edu/tree-detail/ceiba-speciosa","Chorisia speciosa","False",0.0,"Chorisia speciosa","Chorisia speciosa",190.0,"https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTr-cKr9kRS2VRd_TiElJdMWyTPBksgQXOrqsQivhnq9RreKFLpo7UFn5g",266.0,"FLOSS SILK TREE Ceiba speciosa",0.0,"Ceiba speciosa","http://eol.org/pages/5405972/overview","Silk Floss Tree - Ceiba speciosa (A. St.-Hil.) Ravenna - Overview ..."
25,"",0.0,0.0,"",37.0,"https://selectree.calpoly.edu/tree-detail/cinnamomum-glanduliferum","","False",0.0,"Cinnamomum glanduliferum","Cinnamomum glanduliferum","","","","Cinnamomum glanduliferum",1.0,"Cinnamomum verum","http://eol.org/pages/490672/overview","Cinnamon - Cinnamomum verum - Overview - Encyclopedia of Life"
26,"spring",0.0,1.0,"winter, spring, summer",38.0,"https://selectree.calpoly.edu/tree-detail/citrus-aurantifolia","Citrus aurantifolia","False",1.0,"Citrus aurantifolia","Citrus aurantifolia","","","","Citrus aurantifolia",1.0,"Citrus aurantiifolia","http://eol.org/pages/595293/overview","Lime - Citrus aurantiifolia (Christm.) Swingle (pro. sp.) - Overview ..."
27,"spring",0.0,1.0,"winter, spring, summer",39.0,"","","False",1.0,"Citrus grande","Citrus grande","","","","",1.0,"","",""
28,"spring",0.0,1.0,"winter",40.0,"","","False",1.0,"Citrus Improved","Citrus Improved","","","","",1.0,"","",""
29,"spring",0.0,1.0,"spring, summer, fall, winter",41.0,"https://selectree.calpoly.edu/tree-detail/citrus-limon","","False",1.0,"Citrus limon","Citrus limon","","","","Citrus limon",1.0,"Citrus limon","http://eol.org/pages/582200/names?all=1","Citrus limon (L.) Burm. f. (pro. sp.)"
30,"spring",0.0,1.0,"winter, spring, summer",42.0,"https://selectree.calpoly.edu/tree-detail/citrus-paradisi","","False",1.0,"Citrus paradisi","Citrus paradisi",183.0,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgfXHYtqyMdsfHnZAvIBn9hJTTyjlnj1TnWvC9yHWn4_M-DKU-7y_QzXB7",275.0,"Citrus paradisi",1.0,"","",""
31,"spring",0.0,1.0,"winter, spring, summer, fall",43.0,"https://selectree.calpoly.edu/tree-detail/citrus-sinensis","","False",1.0,"Citrus sinensis","Citrus sinensis","","","","Citrus sinensis",1.0,"Citrus sinensis","http://eol.org/pages/582206/overview","Sweet Orange - Citrus sinensis (L.) Osbeck (pro. sp.) - Overview ..."
32,"spring",0.0,1.0,"winter",45.0,"https://selectree.calpoly.edu/tree-detail/citrus-limon","Citrus","False",1.0,"Citrus","Citrus","","","","Citrus limon",1.0,"","",""
33,"spring",0.0,1.0,"",49.0,"https://selectree.calpoly.edu/tree-detail/corynocarpus-laevigatus","","False",0.0,"Corynocarpus laevigatus","Corynocarpus laevigatus","","","","NEW ZEALAND LAUREL Corynocarpus laevigatus",0.0,"Corynocarpus laevigatus","http://eol.org/pages/594842/overview","Karaka Nut - Corynocarpus laevigatus - Overview - Encyclopedia of ..."
34,"spring",1.0,1.0,"",50.0,"https://selectree.calpoly.edu/tree-detail/crataegus-laevigata","Crataegus laevigata","False",0.0,"Crataegus laevigata","Crataegus laevigata","","","","ENGLISH HAWTHORN Crataegus laevigata",1.0,"","",""
35,"spring",1.0,1.0,"",53.0,"https://selectree.calpoly.edu/tree-detail/crataegus-viridis","Crateagus","False",0.0,"Crataegus","Crataegus","","","","GREEN HAWTHORN Crataegus viridis",1.0,"Crataegus","http://eol.org/pages/2506898/overview","Brainerd's Hawthorn - Crataegus brainerdii - Overview ..."
36,"",0.0,0.0,"",55.0,"https://selectree.calpoly.edu/tree-detail/cupressocyparis-%C3%97-leylandii","","False",0.0,"Cupressocyparis leylandii","Cupressocyparis leylandii","","","","LEYLAND CYPRESS Cupressocyparis × leylandii",0.0,"Cuprocyparis leylandii","http://eol.org/pages/2496922/overview","Leyland Cypress - Cuprocyparis leylandii (A.B. Jacks. & Dallim ..."
37,"spring",0.0,1.0,"fall",56.0,"https://selectree.calpoly.edu/tree-detail/cydonia-oblonga","","False",1.0,"Cydonia oblonga","Cydonia oblonga","","","","QUINCE Cydonia oblonga",1.0,"Cydonia oblonga","http://eol.org/pages/1237559/overview","Cydonia oblonga var. integerrimo-sepala - Overview - Encyclopedia ..."
38,"spring",0.0,1.0,"",57.0,"https://selectree.calpoly.edu/tree-detail/eriobotrya-deflexa","Eriobotrya deflexa","False",0.0,"Eriobotrya deflexa","Eriobotrya deflexa","","","","Eriobotrya deflexa",1.0,"","",""
39,"spring, fall, winter",0.0,1.0,"",58.0,"https://selectree.calpoly.edu/tree-detail/eucalyptus-sideroxylon","Eucalyptus sideroxylon","False",0.0,"Eucalyptus sideroxylon","Eucalyptus sideroxylon","","","","Eucalyptus sideroxylon",1.0,"","",""
40,"",0.0,0.0,"",59.0,"https://selectree.calpoly.edu/tree-detail/eucalyptus-rudis","Eucalyptus","False",0.0,"Eucalyptus","Eucalyptus",194.0,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkfthqZtBEXUEM0CjR2PJ6gW7rhbWIal-A1Ay0l5n4_dYJdq-RED1iy9oz",259.0,"Eucalyptus rudis",1.0,"Eucalyptus","http://eol.org/pages/630179/overview","Gum Tree - Eucalyptus macrorrhyncha - Overview - Encyclopedia of ..."
41,"",0.0,0.0,"",60.0,"https://selectree.calpoly.edu/tree-detail/ficus-benjamina","","False",0.0,"Ficus benjamina","Ficus benjamina","","","","Ficus benjamina",0.0,"Ficus benjamina","http://eol.org/pages/594918/overview","Weeping Fig - Ficus benjamina - Overview - Encyclopedia of Life"
42,"",1.0,0.0,"summer, fall",61.0,"https://selectree.calpoly.edu/tree-detail/ficus-carica","Ficus carica","False",1.0,"Ficus carica","Ficus carica","","","","Ficus carica",1.0,"Ficus carica","http://eol.org/pages/594632/overview","Common Fig - Ficus carica - Overview - Encyclopedia of Life"
43,"",0.0,0.0,"",64.0,"https://selectree.calpoly.edu/tree-detail/ficus-microcarpa","Ficus microcarpa","False",0.0,"Ficus microcarpa","Ficus microcarpa","","","","Ficus microcarpa",0.0,"Ficus microcarpa","http://eol.org/pages/590525/overview","Common Wild Fig - Ficus microcarpa - Overview - Encyclopedia of Life"
44,"",1.0,0.0,"",65.0,"https://selectree.calpoly.edu/tree-detail/fraxinus-americana","Fraxinus americana","False",0.0,"Fraxinus americana","Fraxinus americana","","","","Fraxinus americana",1.0,"Fraxinus americana","http://eol.org/pages/41782873/overview","Fraxinus americana fo. iodocarpa - Overview - Encyclopedia of Life"
45,"",0.0,0.0,"",67.0,"https://selectree.calpoly.edu/tree-detail/fraxinus-uhdei","Fraxinus uhdei","False",0.0,"Fraxinus uhdei","Fraxinus uhdei","","","","Fraxinus uhdei",1.0,"Fraxinus uhdei","http://eol.org/pages/487569/overview","Shamel Ash - Fraxinus uhdei - Overview - Encyclopedia of Life"
46,"",1.0,0.0,"",68.0,"https://selectree.calpoly.edu/tree-detail/fraxinus-velutina","Fraxinus velutina","False",0.0,"Fraxinus velutina","Fraxinus velutina","","","","Fraxinus velutina",1.0,"Fraxinus velutina","http://eol.org/pages/579143/overview","Velvet Ash - Fraxinus velutina - Overview - Encyclopedia of Life"
47,"",1.0,0.0,"",70.0,"https://selectree.calpoly.edu/tree-detail/fraxinus-ornus","Fraxinus","False",0.0,"Fraxinus","Fraxinus","","","","Fraxinus ornus",1.0,"Fraxinus","http://eol.org/pages/38324/overview","Ash - Fraxinus - Overview - Encyclopedia of Life"
48,"spring",0.0,1.0,"",71.0,"https://selectree.calpoly.edu/tree-detail/fremontodendron-mexicanum","Fremontodendron","False",0.0,"Fremontodendron","Fremontodendron","","","","MEXICAN FLANNEL BUSH Fremontodendron mexicanum",0.0,"Fremontodendron","http://eol.org/pages/61853/overview","Flannelbush - Fremontodendron - Overview - Encyclopedia of Life"
49,"winter",0.0,1.0,"",72.0,"https://selectree.calpoly.edu/tree-detail/garrya-elliptica","Garrya elliptica","True",0.0,"Garrya elliptica","Garrya elliptica",191.0,"https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZ_gN9U8PBbKHlC809B5SiE8fj46puNYlwBQzY8dJayScAueJz1kn0fbI",264.0,"COAST SILKTASSEL Garrya elliptica",1.0,"Garrya elliptica","http://eol.org/pages/1149033/overview","Wavyleaf Silktassel - Garrya elliptica - Overview - Encyclopedia of Life"
50,"",1.0,0.0,"",74.0,"https://selectree.calpoly.edu/tree-detail/gleditsia-triacanthos","Gleditsia triacanthos","False",0.0,"Gleditsia triacanthos","Gleditsia triacanthos","","","","Gleditsia triacanthos",1.0,"Gleditsia triacanthos","http://eol.org/pages/416265/overview","Common Honeylocust - Gleditsia triacanthos - Overview ..."
51,"spring",0.0,1.0,"",77.0,"https://selectree.calpoly.edu/tree-detail/grevillea-robusta","Grevillea","False",0.0,"Grevillea","Grevillea","","","","SILK OAK TREE Grevillea robusta",1.0,"","",""
52,"",0.0,0.0,"summer",79.0,"https://selectree.calpoly.edu/tree-detail/harpephyllum-caffrum","","False",1.0,"Harpephyllum caffrum","Harpephyllum caffrum","","","","South African Wild Plum Harpephyllum caffrum",0.0,"Harpephyllum caffrum","http://eol.org/pages/6935240/overview","Wild Plum - Harpephyllum caffrum - Overview - Encyclopedia of Life"
53,"summer, fall",0.0,1.0,"",80.0,"https://selectree.calpoly.edu/tree-detail/hoheria-populnea","","False",0.0,"Hoheria populnea","Hoheria populnea","","","","NEW ZEALAND LACEBARK Hoheria populnea",0.0,"Hoheria populnea A. Cunn.","http://eol.org/pages/5416941/overview","Lacebark - Hoheria populnea A. Cunn. - Overview - Encyclopedia of ..."
54,"",0.0,0.0,"",81.0,"https://selectree.calpoly.edu/tree-detail/howea-forsteriana","","False",0.0,"Howea forsteriana","Howea forsteriana","","","","KENTIA PALM Howea forsteriana",0.0,"Howea forsteriana","http://eol.org/pages/1142853/overview","Kentia Palm - Howea forsteriana - Overview - Encyclopedia of Life"
55,"",0.0,0.0,"",82.0,"","","False",0.0,"Ilex altaclerensis","Ilex xaltaclerensis","","","","",1.0,"","",""
56,"",0.0,0.0,"",84.0,"","Ilex","False",0.0,"Ilex","Ilex","","","","",1.0,"Ilex","http://eol.org/pages/486842/overview","Common Holly - Ilex aquifolium - Overview - Encyclopedia of Life"
57,"",1.0,0.0,"fall",85.0,"https://selectree.calpoly.edu/tree-detail/juglans-regia","Juglans","True",1.0,"Juglans","Juglans","","","","Juglans regia",1.0,"Juglans","http://eol.org/pages/594963/overview","Namboca - Juglans microcarpa - Overview - Encyclopedia of Life"
58,"",0.0,0.0,"",87.0,"https://selectree.calpoly.edu/tree-detail/juniperus-scopulorum","Juniperus scopulorum","False",0.0,"Juniperus scopulorum","Juniperus scopulorum","","","","Juniperus scopulorum",1.0,"Juniperus scopulorum","http://eol.org/pages/1034924/overview","Rocky Mountain Juniper - Juniperus scopulorum - Overview ..."
59,"summer",1.0,1.0,"",88.0,"https://selectree.calpoly.edu/tree-detail/lagerstroemia-indica","Lagerstroemia indica","False",0.0,"Lagerstroemia indica","Lagerstroemia indica","","","","CRAPE MYRTLE Lagerstroemia indica",1.0,"Lagerstroemia indica","http://eol.org/pages/582106/overview","Crepe-myrtle - Lagerstroemia indica - Overview - Encyclopedia of Life"
60,"summer",0.0,1.0,"",90.0,"https://selectree.calpoly.edu/tree-detail/leptospermum-scoparium","Leptospermum scoparium","False",0.0,"Leptospermum scoparium","Leptospermum scoparium","","","","Leptospermum scoparium",1.0,"Leptospermum scoparium","http://eol.org/pages/2508620/overview","Manuka - Leptospermum scoparium - Overview - Encyclopedia of Life"
61,"summer",0.0,1.0,"",90.0,"https://selectree.calpoly.edu/tree-detail/leptospermum-scoparium","Leptospermum scoparium","False",0.0,"Leptospermum scoparium","Leptospermum scoparium","","","","Leptospermum scoparium",1.0,"Leptospermum scoparium","http://eol.org/pages/2508620/overview","Manuka - Leptospermum scoparium - Overview - Encyclopedia of Life"
62,"",0.0,0.0,"",94.0,"https://selectree.calpoly.edu/tree-detail/leucadendron-argenteum","","False",0.0,"Leucadendron argenteum","Leucadendron argenteum",183.0,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDr4_zbtg5-zIpwwmUk5ka1a299KRTfow0ikIpBbeda4j7m9zgIVo_ru4",276.0,"SILVER TREE Leucadendron argenteum",0.0,"Leucadendron argenteum","http://eol.org/pages/5511368/overview","Silver Tree - Leucadendron argenteum - Overview - Encyclopedia of ..."
63,"",1.0,0.0,"",95.0,"https://selectree.calpoly.edu/tree-detail/liquidambar-styraciflua","Liquidambar styraciflua","False",0.0,"Liquidambar styraciflua","Liquidambar styraciflua","","","","AMERICAN SWEETGUM Liquidambar styraciflua",1.0,"Liquidambar styraciflua","http://eol.org/pages/594658/overview","American Sweetgum - Liquidambar styraciflua - Overview ..."
64,"spring, summer",1.0,1.0,"",96.0,"","","False",0.0,"Liriodendron chinense","Liriodendron chinense","","","","",0.0,"Liriodendron chinense","http://eol.org/pages/1155835/overview","Chinese Tulip Tree - Liriodendron chinense - Overview ..."
65,"summer",0.0,1.0,"",97.0,"","","False",0.0,"Lycianthes rantonnetii","Lycianthes rantonnettii","","","","",0.0,"Lycianthes rantonnettii","http://eol.org/pages/393965/overview","Blue Potatobush - Lycianthes rantonnettii - Overview - Encyclopedia ..."
66,"spring, summer, fall",0.0,1.0,"",98.0,"https://selectree.calpoly.edu/tree-detail/magnolia-grandiflora","Magnolia grandiflora","False",0.0,"Magnolia grandiflora","Magnolia grandiflora","","","","Magnolia grandiflora",1.0,"Magnolia grandiflora","http://eol.org/pages/1154991/overview","Magnolia - Magnolia grandiflora - Overview - Encyclopedia of Life"
67,"spring, summer, fall",0.0,1.0,"",101.0,"https://selectree.calpoly.edu/tree-detail/magnolia-%C3%97-soulangeana","Magnolia soulangiana","False",0.0,"Magnolia soulangiana","Magnolia xsoulangiana","","","","Magnolia × soulangeana",1.0,"Magnolia soulangeana","http://eol.org/pages/2497011/overview","Saucer Magnolia - Magnolia soulangeana - Overview ..."
68,"spring, summer, fall",0.0,1.0,"",102.0,"https://selectree.calpoly.edu/tree-detail/magnolia-acuminata","Magnolia","False",0.0,"Magnolia","Magnolia","","","","Magnolia acuminata",1.0,"Magnolia","http://eol.org/pages/1155052/overview","Cucumber-tree - Magnolia acuminata - Overview - Encyclopedia of ..."
69,"spring",1.0,1.0,"summer, fall",103.0,"https://selectree.calpoly.edu/tree-detail/malus-floribunda","Malus floribunda","False",1.0,"Malus floribunda","Malus floribunda","","","","JAPANESE FLOWERING CRABAPPLE Malus floribunda",1.0,"","",""
70,"spring",1.0,1.0,"summer, fall",105.0,"","","False",1.0,"Malus Fuji","Malus Fuji","","","","",1.0,"","",""
71,"spring",1.0,1.0,"summer, fall",106.0,"","","False",1.0,"Malus Gala","Malus Gala","","","","",1.0,"","",""
72,"spring, winter",0.0,1.0,"",107.0,"https://selectree.calpoly.edu/tree-detail/acacia-baileyana","Acacia baileyana","False",0.0,"Acacia baileyana","Acacia baileyana","","","","Acacia baileyana",1.0,"","",""
73,"spring",1.0,1.0,"summer, fall",108.0,"","","False",1.0,"Malus Gordon","Malus Gordon","","","","",1.0,"","",""
74,"spring",1.0,1.0,"summer, fall",109.0,"","","False",1.0,"Malus Gravenstein","Malus Gravenstein","","","","",1.0,"","",""
75,"spring",1.0,1.0,"summer, fall",110.0,"","","False",1.0,"Malus Prof","Malus Prof","","","","",1.0,"","",""
76,"spring",1.0,1.0,"summer, fall",111.0,"","","False",1.0,"Malus Red","Malus Red","","","","",1.0,"Malus","http://eol.org/pages/29915/overview","Apples - Malus - Overview - Encyclopedia of Life"
77,"spring",1.0,1.0,"summer, fall",113.0,"","","False",1.0,"Malus Robinson","Malus Robinson","","","","",1.0,"","",""
78,"spring",1.0,1.0,"summer, fall",114.0,"","","False",1.0,"Malus Royalty","Malus Royalty","","","","",1.0,"","",""
79,"spring",1.0,1.0,"summer, fall",115.0,"","","False",1.0,"Malus Winter","Malus Winter","","","","",1.0,"","",""
80,"spring",1.0,1.0,"summer, fall",116.0,"","","False",1.0,"Malus Yellow","Malus Yellow","","","","",1.0,"","",""
81,"spring",1.0,1.0,"summer, fall",117.0,"","Malus","False",1.0,"Malus","Malus","","","","",1.0,"Malus","http://eol.org/pages/633301/overview","Kaido Crab Apple - Malus micromalus - Overview - Encyclopedia of ..."
82,"spring",0.0,1.0,"",120.0,"https://selectree.calpoly.edu/tree-detail/melaleuca-nesophila","Melaleuca","False",0.0,"Melaleuca","Melaleuca","","","","Melaleuca nesophila",1.0,"","",""
83,"",0.0,0.0,"",121.0,"","","False",0.0,"Metrosideros robusta","Metrosideros robusta","","","","",0.0,"","",""
84,"spring, winter",0.0,1.0,"",122.0,"https://selectree.calpoly.edu/tree-detail/michelia-doltsopa","","False",0.0,"Michelia doltsopa","Michelia doltsopa","","","","Michelia doltsopa",0.0,"","",""
85,"spring, winter",0.0,1.0,"",123.0,"https://selectree.calpoly.edu/tree-detail/acacia-cognata","Acacia cognata","False",0.0,"Acacia cognata","Acacia cognata","","","","Acacia cognata",1.0,"","",""
86,"spring, winter",0.0,1.0,"",124.0,"","","False",0.0,"Michelia foggii","Michelia xfoggii","","","","",0.0,"","",""
87,"",1.0,0.0,"",126.0,"https://selectree.calpoly.edu/tree-detail/morus-alba","Morus alba","False",0.0,"Morus alba","Morus alba","","","","WHITE MULBERRY Morus alba",0.0,"Morus alba","http://eol.org/pages/6959167/overview","Morus alba pendula - Overview - Encyclopedia of Life"
88,"summer",0.0,1.0,"",127.0,"https://selectree.calpoly.edu/tree-detail/myoporum-laetum","Myoporum laetum","False",0.0,"Myoporum laetum","Myoporum laetum","","","","MYOPORUM Myoporum laetum",0.0,"","",""
89,"",0.0,0.0,"",128.0,"https://selectree.calpoly.edu/tree-detail/olea-europaea","Olea europaea","False",0.0,"Olea europaea","Olea europaea","","","","Olea europaea",0.0,"Olea europaea","http://eol.org/pages/579181/overview","Olive - Olea europaea - Overview - Encyclopedia of Life"
90,"spring, winter",0.0,1.0,"spring, summer, fall, winter",133.0,"https://selectree.calpoly.edu/tree-detail/persea-americana","Persea americana","False",1.0,"Persea americana","Persea americana","","","","MEXICAN AVOCADO Persea americana",0.0,"Persea americana","http://eol.org/pages/1247913/overview","Avocado (Persea americana var. americana) - Information on ..."
91,"",0.0,0.0,"",135.0,"https://selectree.calpoly.edu/tree-detail/Pinus-jeffreyi","Pinus","False",0.0,"Pinus","Pinus",183.0,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRs9Ra9yukmDq1vl0qUxcEXR3NLuV_GW5VdjfIJfHr9seNmI7eQCLl5yg0",276.0,"Pinus jeffreyi",1.0,"Pinus","http://eol.org/pages/999491/overview","Stone Pine - Pinus pinea - Overview - Encyclopedia of Life"
92,"spring",0.0,1.0,"",136.0,"https://selectree.calpoly.edu/tree-detail/pittosporum-tobira","Pittosporum","False",0.0,"Pittosporum","Pittosporum","","","","Pittosporum tobira",1.0,"","",""
93,"",0.0,0.0,"",137.0,"https://selectree.calpoly.edu/tree-detail/podocarpus-henkelii","Podocarpus henkelii","False",0.0,"Podocarpus henkelii","Podocarpus henkelii","","","","Podocarpus henkelii",0.0,"","",""
94,"",1.0,0.0,"",138.0,"https://selectree.calpoly.edu/tree-detail/populus-nigra-italica","Populus nigra","False",0.0,"Populus nigra","Populus nigra",183.0,"https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQmk8OOqRKUobWLqMOO3IFn5eHylKfQ_ojBs6El5q1xZVUOdlpM9ekJf2I",276.0,"Populus nigra 'italica'",1.0,"Populus nigra","http://eol.org/pages/584265/overview","Black Poplar - Populus nigra - Overview - Encyclopedia of Life"
95,"spring, winter",0.0,1.0,"",139.0,"https://selectree.calpoly.edu/tree-detail/acacia-decurrens","Acacia decurrens","False",0.0,"Acacia decurrens","Acacia decurrens","","","","Acacia decurrens",1.0,"Acacia mearnsii","http://eol.org/pages/686955/overview","Black Wattle - Acacia mearnsii - Overview - Encyclopedia of Life"
